subID,condition,Hz,frontal,central,parietal,occipital,ln_Hz,ln_frontal,ln_central,ln_parietal,ln_occipital
oa03,ec,27.916,0.90186,0.320466667,0.5497,0.439233333,3.329200001,-0.103295982,-1.137977012,-0.598382604,-0.822724496
oa03,ec,28.913,0.8449,0.286366667,0.52366,0.433766667,3.364291321,-0.168537002,-1.250482238,-0.64691266,-0.835248524
oa03,ec,29.91,0.70204,0.2523,0.53314,0.4051,3.398192873,-0.353764897,-1.377136423,-0.628971225,-0.903621329
oa03,eo,0.997,42.70052,26.0404,23.0956,229.6591333,-0.003004509,3.754211098,3.259649178,3.139642123,5.436596181
oa03,eo,1.994,5.9821,4.970533333,5.08214,29.82883333,0.690142672,1.788771677,1.603527145,1.625732433,3.395475487
oa03,eo,2.991,2.13032,2.195,2.23676,8.1518,1.09560778,0.756272203,0.786182047,0.80502839,2.098238762
oa03,eo,3.988,1.36092,1.513633333,1.49106,4.5922,1.383289852,0.308160942,0.414512942,0.399487276,1.524359212
oa03,eo,4.985,1.24416,1.412533333,1.48606,3.720966667,1.606433403,0.218460603,0.345384783,0.396128322,1.313983491
oa03,eo,5.982,0.91822,0.989633333,1.16174,2.660066667,1.78875496,-0.085318266,-0.010420775,0.149918881,0.978351185
oa03,eo,6.979,1.0326,1.211433333,1.14806,1.912233333,1.94290564,0.032079893,0.191804232,0.138073561,0.648271843
oa03,eo,7.976,1.85584,2.6555,2.67844,2.8256,2.076437033,0.618337424,0.976632961,0.985234535,1.038720731
oa03,eo,8.973,3.4319,4.954466667,5.69478,4.2169,2.194220068,1.233114044,1.600289527,1.739549966,1.439100261
oa03,eo,9.97,2.73224,4.619466667,6.42732,4.0254,2.299580584,1.005121786,1.530279258,1.860557655,1.392624285
oa03,eo,10.967,1.57084,2.859566667,4.45064,2.830833333,2.394890764,0.451610508,1.050670098,1.493047906,1.040571132
oa03,eo,11.964,1.07552,1.551966667,1.96854,1.727166667,2.481902141,0.072804266,0.439522944,0.677292151,0.546482301
oa03,eo,12.961,0.87394,1.105266667,1.4188,1.371866667,2.561944848,-0.134743556,0.100086633,0.349811444,0.316172343
oa03,eo,13.958,0.7699,0.888033333,1.13484,1.170633333,2.636052821,-0.261494643,-0.118745999,0.126491672,0.157544913
oa03,eo,14.955,0.80696,0.887066667,1.12682,1.0292,2.705045692,-0.214481178,-0.11983514,0.119399506,0.028781801
oa03,eo,15.952,0.95194,0.990566667,1.15364,0.985366667,2.769584213,-0.049253271,-0.009478109,0.142922161,-0.014741457
oa03,eo,16.949,1.01804,1.192866667,1.25752,0.990866667,2.830208835,0.01787921,0.176359374,0.229141527,-0.009175298
oa03,eo,17.946,1.08484,1.160333333,1.34802,1.044666667,2.887367249,0.081432511,0.14870732,0.298636849,0.043697855
oa03,eo,18.943,1.18124,1.071733333,1.30038,0.965066667,2.94143447,0.166564734,0.069277275,0.262656529,-0.035558095
oa03,eo,19.94,1.29428,1.062066667,1.18628,0.961033333,2.992727765,0.257954556,0.060216695,0.17082236,-0.039746185
oa03,eo,20.937,1.2083,0.862566667,1.0361,0.739366667,3.041517929,0.189214413,-0.147842838,0.035463664,-0.301961315
oa03,eo,21.934,1.2506,0.708566667,0.85464,0.726833333,3.088037944,0.223623436,-0.344511129,-0.157074951,-0.31905808
oa03,eo,22.931,1.26094,0.581933333,0.74338,0.6772,3.132489707,0.231857475,-0.541399385,-0.296547925,-0.389788629
oa03,eo,23.928,1.1705,0.554933333,0.67526,0.644133333,3.175049321,0.157431008,-0.588907293,-0.392657477,-0.439849535
oa03,eo,24.925,1.14532,0.530833333,0.62084,0.562833333,3.215871316,0.135684074,-0.63330718,-0.476681879,-0.574771728
oa03,eo,25.922,1.04984,0.408433333,0.57176,0.525066667,3.255092029,0.048637772,-0.895426577,-0.559035956,-0.64423004
oa03,eo,26.919,1.0338,0.3526,0.5481,0.4499,3.292832357,0.033241334,-1.042421009,-0.601297527,-0.798729943
oa03,eo,27.916,0.90186,0.320466667,0.5497,0.439233333,3.329200001,-0.103295982,-1.137977012,-0.598382604,-0.822724496
oa03,eo,28.913,0.8449,0.286366667,0.52366,0.433766667,3.364291321,-0.168537002,-1.250482238,-0.64691266,-0.835248524
